"","section","publication","category","title","content"
"1623","law & politics","National Review","","law & politics","law & politics"
"1624","law & politics","National Review","","news","law & politics"
"1625","news","New York Post","","law & politics","law & politics"
"1626","law & politics","Washington Post","newspaper","news","news"
"1627","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"1628","news","Washington Post","newspaper","news","news"
"1629","entertainment","Guardian","newspaper","news","news"
"1630","news","New York Post","","sports","sports"
"1631","news","New York Post","","news","news"
"1632","culture","Guardian","newspaper","news","news"
"1633","news","Guardian","newspaper","news","news"
"1634","news","New York Post","","news","news"
"1635","law & politics","National Review","","news","news"
"1636","news","New York Post","","news","news"
"1637","news","New York Post","","news","news"
"1638","news","Guardian","newspaper","law & politics","law & politics"
"1639","news","New York Post","","entertainment","news"
"1640","entertainment","NPR","radio","news","news"
"1641","news","New York Post","","news","news"
"1642","news","New York Post","","news","news"
"1643","law & politics","Washington Post","newspaper","news","law & politics"
"1644","news","Washington Post","newspaper","news","news"
"1645","news","New York Post","","news","news"
"1646","news","New York Post","","news","news"
"1647","entertainment","NPR","radio","entertainment","entertainment"
"1648","law & politics","National Review","","law & politics","law & politics"
"1649","news","Guardian","newspaper","news","news"
"1650","news","NPR","radio","law & politics","news"
"1651","news","NPR","radio","news","news"
"1652","law & politics","National Review","","science & tech","law & politics"
"1653","entertainment","Guardian","newspaper","news","news"
"1654","entertainment","Guardian","newspaper","news","entertainment"
"1655","law & politics","Washington Post","newspaper","sports","sports"
"1656","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1657","news","New York Post","","news","news"
"1658","news","NPR","radio","news","news"
"1659","news","New York Post","","news","news"
"1660","news","New York Post","","news","news"
"1661","news","New York Post","","news","news"
"1662","news","NPR","radio","news","news"
"1663","news","Washington Post","newspaper","news","news"
"1664","news","New York Post","","law & politics","news"
"1665","news","New York Post","","news","news"
"1666","entertainment","NPR","radio","news","entertainment"
"1667","law & politics","NPR","radio","news","news"
"1668","news","New York Post","","news","news"
"1669","news","Fox News","broadcast","news","news"
"1670","law & politics","Talking Points Memo","general","news","law & politics"
"1671","news","Washington Post","newspaper","news","news"
"1672","law & politics","Washington Post","newspaper","news","law & politics"
"1673","news","Washington Post","newspaper","law & politics","law & politics"
"1674","news","Washington Post","newspaper","news","news"
"1675","news","NPR","radio","law & politics","news"
"1676","news","NPR","radio","news","news"
"1677","law & politics","National Review","","law & politics","law & politics"
"1678","news","Washington Post","newspaper","news","news"
"1679","news","Guardian","newspaper","news","law & politics"
"1680","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1681","law & politics","National Review","","news","law & politics"
"1682","news","Washington Post","newspaper","news","news"
"1683","news","New York Post","","news","news"
"1684","science & tech","Guardian","newspaper","news","news"
"1685","entertainment","Guardian","newspaper","news","news"
"1686","news","New York Post","","news","news"
"1687","health & lifestyle","Guardian","newspaper","law & politics","news"
"1688","news","Washington Post","newspaper","news","news"
"1689","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1690","news","New York Post","","news","news"
"1691","news","New York Post","","sports","news"
"1692","news","Guardian","newspaper","news","news"
"1693","law & politics","Guardian","newspaper","news","news"
"1694","news","Guardian","newspaper","news","news"
"1695","art & fashion","Guardian","newspaper","news","news"
"1696","law & politics","Washington Post","newspaper","news","news"
"1697","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1698","news","NPR","radio","news","news"
"1699","news","Washington Post","newspaper","news","news"
"1700","law & politics","Guardian","newspaper","law & politics","law & politics"
"1701","news","New York Post","","news","news"
"1702","law & politics","National Review","","law & politics","law & politics"
"1703","health & lifestyle","NPR","radio","news","news"
"1704","news","New York Post","","news","news"
"1705","law & politics","National Review","","news","news"
"1706","news","New York Post","","news","news"
"1707","news","Guardian","newspaper","law & politics","news"
"1708","news","Washington Post","newspaper","law & politics","entertainment"
"1709","news","NPR","radio","news","news"
"1710","news","Washington Post","newspaper","news","news"
"1711","law & politics","National Review","","law & politics","news"
"1712","news","New York Post","","entertainment","news"
"1713","law & politics","Washington Post","newspaper","law & politics","news"
"1714","news","Talking Points Memo","general","news","news"
"1715","law & politics","National Review","","news","law & politics"
"1716","news","Washington Post","newspaper","news","news"
"1717","news","NPR","radio","news","news"
"1718","news","Guardian","newspaper","law & politics","news"
"1719","sports","Washington Post","newspaper","news","books"
"1720","food","NPR","radio","news","news"
"1721","news","Guardian","newspaper","news","news"
"1722","news","Fox News","broadcast","news","news"
"1723","law & politics","National Review","","law & politics","law & politics"
"1724","health & lifestyle","Washington Post","newspaper","law & politics","news"
"1725","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1726","law & politics","Washington Post","newspaper","news","law & politics"
"1727","law & politics","National Review","","news","law & politics"
"1728","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1729","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1730","news","New York Post","","news","news"
"1731","news","New York Post","","news","news"
"1732","news","Guardian","newspaper","news","news"
"1733","law & politics","Washington Post","newspaper","health & lifestyle","news"
"1734","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1735","law & politics","National Review","","news","news"
"1736","news","New York Post","","media","news"
"1737","entertainment","Guardian","newspaper","entertainment","news"
"1738","news","New York Post","","news","news"
"1739","law & politics","Guardian","newspaper","economy, business & jobs","law & politics"
"1740","sports","Guardian","newspaper","news","news"
"1741","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1742","culture","Guardian","newspaper","health & lifestyle","news"
"1743","entertainment","Guardian","newspaper","news","news"
"1744","health & lifestyle","NPR","radio","law & politics","news"
"1745","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1746","law & politics","National Review","","law & politics","law & politics"
"1747","law & politics","Talking Points Memo","general","news","news"
"1748","news","Washington Post","newspaper","law & politics","law & politics"
"1749","news","Washington Post","newspaper","law & politics","law & politics"
"1750","law & politics","Talking Points Memo","general","news","law & politics"
"1751","science & tech","NPR","radio","news","news"
"1752","entertainment","Guardian","newspaper","law & politics","news"
"1753","news","Buzzfeed News","general","news","news"
"1754","news","New York Post","","news","news"
"1755","news","NPR","radio","news","news"
"1756","news","Fox News","broadcast","news","news"
"1757","law & politics","National Review","","news","news"
"1758","culture","Guardian","newspaper","news","news"
"1759","entertainment","NPR","radio","news","entertainment"
"1760","news","New York Post","","news","news"
"1761","news","Guardian","newspaper","news","news"
"1762","law & politics","National Review","","news","news"
"1763","law & politics","National Review","","news","news"
"1764","entertainment","Guardian","newspaper","news","news"
"1765","news","Washington Post","newspaper","news","law & politics"
"1766","university & school","NPR","radio","news","news"
"1767","law & politics","Washington Post","newspaper","news","news"
"1768","law & politics","National Review","","news","news"
"1769","entertainment","NPR","radio","science & tech","news"
"1770","news","Washington Post","newspaper","news","news"
"1771","news","NPR","radio","news","news"
"1772","news","Washington Post","newspaper","news","news"
"1773","news","Guardian","newspaper","news","news"
"1774","economy, business & jobs","Guardian","newspaper","news","news"
"1775","science & tech","Guardian","newspaper","news","news"
"1776","news","New York Post","","news","news"
"1777","law & politics","Talking Points Memo","general","law & politics","news"
"1778","news","Washington Post","newspaper","news","news"
"1779","entertainment","Guardian","newspaper","news","news"
"1780","law & politics","Washington Post","newspaper","news","law & politics"
"1781","entertainment","Guardian","newspaper","law & politics","news"
"1782","news","New York Post","","news","news"
"1783","law & politics","National Review","","law & politics","law & politics"
"1784","law & politics","National Review","","entertainment","news"
"1785","news","New York Post","","health & lifestyle","news"
"1786","news","New York Post","","news","news"
"1787","sports","Washington Post","newspaper","news","news"
"1788","news","Washington Post","newspaper","law & politics","news"
"1789","news","New York Post","","news","news"
"1790","news","New York Post","","news","news"
"1791","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1792","news","Washington Post","newspaper","health & lifestyle","law & politics"
"1793","news","Talking Points Memo","general","law & politics","news"
"1794","news","New York Post","","news","law & politics"
"1795","news","New York Post","","health & lifestyle","news"
"1796","news","Guardian","newspaper","news","news"
"1797","sports","Guardian","newspaper","news","sports"
"1798","news","New York Post","","law & politics","law & politics"
"1799","news","NPR","radio","news","news"
"1800","news","New York Post","","news","law & politics"
"1801","news","New York Post","","law & politics","law & politics"
"1802","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1803","law & politics","National Review","","law & politics","law & politics"
"1804","science & tech","NPR","radio","law & politics","news"
"1805","news","New York Post","","law & politics","law & politics"
"1806","law & politics","Guardian","newspaper","law & politics","law & politics"
"1807","health & lifestyle","NPR","radio","law & politics","news"
"1808","news","NPR","radio","news","news"
"1809","news","Guardian","newspaper","law & politics","law & politics"
"1810","news","New York Post","","news","news"
"1811","news","Washington Post","newspaper","news","news"
"1812","news","Washington Post","newspaper","law & politics","law & politics"
"1813","news","New York Post","","news","news"
"1814","news","Washington Post","newspaper","news","news"
"1815","law & politics","Washington Post","newspaper","law & politics","news"
"1816","news","New York Post","","news","news"
"1817","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1818","news","Guardian","newspaper","news","news"
"1819","news","Guardian","newspaper","news","news"
"1820","news","Washington Post","newspaper","law & politics","news"
"1821","law & politics","National Review","","law & politics","news"
"1822","law & politics","National Review","","law & politics","news"
"1823","news","Washington Post","newspaper","news","news"
"1824","news","New York Post","","law & politics","news"
"1825","news","Washington Post","newspaper","news","news"
"1826","news","New York Post","","news","news"
"1827","news","Fox News","broadcast","news","news"
"1828","news","New York Post","","news","news"
"1829","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1830","news","Washington Post","newspaper","news","news"
"1831","news","Washington Post","newspaper","law & politics","law & politics"
"1832","news","NPR","radio","university & school","news"
"1833","news","Guardian","newspaper","news","news"
"1834","law & politics","Washington Post","newspaper","news","news"
"1835","news","Guardian","newspaper","news","news"
"1836","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1837","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1838","news","New York Post","","news","news"
"1839","law & politics","Washington Post","newspaper","news","law & politics"
"1840","news","New York Post","","news","news"
"1841","news","Washington Post","newspaper","law & politics","news"
"1842","news","Washington Post","newspaper","news","health & lifestyle"
"1843","news","New York Post","","law & politics","news"
"1844","news","New York Post","","news","news"
"1845","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1846","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"1847","news","New York Post","","news","news"
"1848","law & politics","Washington Post","newspaper","law & politics","news"
"1849","law & politics","National Review","","news","law & politics"
"1850","food","NPR","radio","news","news"
"1851","news","NPR","radio","news","news"
"1852","science & tech","Guardian","newspaper","news","news"
"1853","news","New York Post","","news","news"
"1854","science & tech","NPR","radio","science & tech","news"
"1855","sports","Guardian","newspaper","sports","sports"
"1856","culture","Guardian","newspaper","health & lifestyle","news"
"1857","news","New York Post","","news","news"
"1858","law & politics","Fox News","broadcast","law & politics","law & politics"
"1859","news","Guardian","newspaper","news","news"
"1860","news","NPR","radio","news","news"
"1861","health & lifestyle","NPR","radio","news","law & politics"
"1862","news","Washington Post","newspaper","news","law & politics"
"1863","entertainment","NPR","radio","news","news"
"1864","news","New York Post","","law & politics","news"
"1865","news","New York Post","","news","news"
"1866","law & politics","Guardian","newspaper","news","news"
"1867","law & politics","Talking Points Memo","general","news","news"
"1868","law & politics","National Review","","law & politics","news"
"1869","news","NPR","radio","law & politics","law & politics"
"1870","food","NPR","radio","law & politics","news"
"1871","law & politics","Washington Post","newspaper","news","law & politics"
"1872","news","New York Post","","news","news"
"1873","law & politics","National Review","","news","law & politics"
"1874","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1875","law & politics","Talking Points Memo","general","news","law & politics"
"1876","entertainment","NPR","radio","law & politics","news"
"1877","news","New York Post","","news","news"
"1878","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1879","news","New York Post","","news","news"
"1880","law & politics","Washington Post","newspaper","news","law & politics"
"1881","university & school","NPR","radio","news","news"
"1882","news","Washington Post","newspaper","news","news"
"1883","health & lifestyle","Washington Post","newspaper","entertainment","news"
"1884","news","New York Post","","news","news"
"1885","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1886","economy, business & jobs","Guardian","newspaper","law & politics","news"
"1887","news","New York Post","","sports","news"
"1888","news","New York Post","","news","news"
"1889","law & politics","National Review","","law & politics","law & politics"
"1890","news","New York Post","","news","news"
"1891","news","New York Post","","news","news"
"1892","sports","Guardian","newspaper","news","news"
"1893","news","NPR","radio","law & politics","news"
"1894","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1895","news","Washington Post","newspaper","news","news"
"1896","news","New York Post","","news","news"
"1897","news","New York Post","","news","news"
"1898","news","New York Post","","news","news"
"1899","news","New York Post","","law & politics","news"
"1900","news","Washington Post","newspaper","news","news"
"1901","news","Washington Post","newspaper","news","law & politics"
"1902","entertainment","Guardian","newspaper","news","law & politics"
"1903","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1904","law & politics","Guardian","newspaper","law & politics","law & politics"
"1905","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1906","entertainment","Guardian","newspaper","news","news"
"1907","sports","Guardian","newspaper","health & lifestyle","news"
"1908","news","New York Post","","entertainment","news"
"1909","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1910","law & politics","Guardian","newspaper","news","news"
"1911","news","Guardian","newspaper","news","news"
"1912","news","New York Post","","law & politics","law & politics"
"1913","news","NPR","radio","law & politics","law & politics"
"1914","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1915","news","New York Post","","news","news"
"1916","news","New York Post","","news","news"
"1917","law & politics","Washington Post","newspaper","law & politics","law & politics"
"1918","news","New York Post","","news","news"
"1919","law & politics","National Review","","news","news"
"1920","law & politics","National Review","","law & politics","law & politics"
"1921","news","NPR","radio","news","news"
"1922","news","New York Post","","news","news"
"1923","news","New York Post","","news","news"
"1924","news","New York Post","","news","news"
"1925","art & fashion","Guardian","newspaper","news","art & fashion"
"1926","news","New York Post","","law & politics","news"
"1927","news","Washington Post","newspaper","law & politics","news"
"1928","news","Guardian","newspaper","news","news"
"1929","news","New York Post","","news","news"
"1930","law & politics","Talking Points Memo","general","law & politics","news"
"1931","news","New York Post","","news","news"
"1932","science & tech","Guardian","newspaper","law & politics","news"
"1933","news","New York Post","","news","news"
"1934","news","Washington Post","newspaper","news","news"
"1935","news","Washington Post","newspaper","food","news"
"1936","news","New York Post","","news","law & politics"
"1937","law & politics","National Review","","news","news"
"1938","news","Guardian","newspaper","news","news"
"1939","law & politics","National Review","","law & politics","law & politics"
"1940","law & politics","National Review","","law & politics","law & politics"
"1941","law & politics","National Review","","news","news"
"1942","news","New York Post","","news","news"
"1943","news","New York Post","","news","news"
"1944","news","New York Post","","news","news"
"1945","news","New York Post","","news","news"
"1946","news","New York Post","","news","news"
"1947","news","Washington Post","newspaper","law & politics","news"
"1948","news","New York Post","","news","news"
"1949","sports","Guardian","newspaper","news","sports"
"1950","law & politics","Talking Points Memo","general","news","law & politics"
"1951","news","NPR","radio","news","law & politics"
"1952","news","New York Post","","news","news"
"1953","news","New York Post","","news","news"
"1954","news","New York Post","","news","news"
"1955","news","NPR","radio","law & politics","law & politics"
"1956","news","New York Post","","news","news"
"1957","news","NPR","radio","news","news"
"1958","law & politics","National Review","","news","news"
"1959","law & politics","National Review","","culture","news"
"1960","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1961","law & politics","Washington Post","newspaper","news","law & politics"
"1962","news","Washington Post","newspaper","news","news"
"1963","news","Washington Post","newspaper","news","news"
"1964","news","New York Post","","news","news"
"1965","news","Guardian","newspaper","news","law & politics"
"1966","sports","Guardian","newspaper","law & politics","news"
"1967","news","New York Post","","news","news"
"1968","news","New York Post","","law & politics","law & politics"
"1969","news","New York Post","","news","news"
"1970","culture","Guardian","newspaper","health & lifestyle","health & lifestyle"
"1971","news","Washington Post","newspaper","news","news"
"1972","university & school","NPR","radio","news","news"
"1973","news","New York Post","","news","news"
"1974","news","New York Post","","news","news"
"1975","law & politics","National Review","","law & politics","law & politics"
"1976","health & lifestyle","Washington Post","newspaper","news","news"
"1977","news","NPR","radio","law & politics","law & politics"
"1978","sports","Guardian","newspaper","sports","sports"
"1979","news","Fox News","broadcast","news","news"
"1980","books","Guardian","newspaper","news","news"
"1981","news","Washington Post","newspaper","law & politics","law & politics"
"1982","news","Talking Points Memo","general","news","news"
"1983","news","New York Post","","news","news"
"1984","news","Fox News","broadcast","news","news"
"1985","news","Talking Points Memo","general","news","law & politics"
"1986","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1987","news","New York Post","","news","news"
"1988","news","New York Post","","news","news"
"1989","law & politics","Washington Post","newspaper","law & politics","news"
"1990","sports","Guardian","newspaper","news","news"
"1991","news","New York Post","","news","news"
"1992","news","New York Post","","news","news"
"1993","law & politics","Talking Points Memo","general","law & politics","law & politics"
"1994","news","New York Post","","news","news"
"1995","news","Washington Post","newspaper","news","news"
"1996","news","New York Post","","news","news"
"1997","news","Washington Post","newspaper","news","news"
"1998","news","Talking Points Memo","general","law & politics","news"
"1999","news","New York Post","","news","news"
"2000","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2001","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2002","news","New York Post","","law & politics","news"
"2003","news","New York Post","","news","news"
"2004","health & lifestyle","NPR","radio","news","health & lifestyle"
"2005","news","Washington Post","newspaper","news","news"
"2006","news","Fox News","broadcast","news","news"
"2007","news","New York Post","","books","news"
"2008","news","New York Post","","news","news"
"2009","news","New York Post","","news","news"
"2010","news","New York Post","","news","news"
"2011","law & politics","Fox News","broadcast","law & politics","law & politics"
"2012","books","Guardian","newspaper","news","law & politics"
"2013","news","NPR","radio","news","news"
"2014","news","New York Post","","news","news"
"2015","law & politics","National Review","","news","news"
"2016","news","New York Post","","news","sports"
"2017","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"2018","news","Guardian","newspaper","news","news"
"2019","news","New York Post","","news","law & politics"
"2020","news","Washington Post","newspaper","news","news"
"2021","law & politics","National Review","","law & politics","news"
"2022","news","NPR","radio","science & tech","news"
"2023","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2024","news","Talking Points Memo","general","news","news"
"2025","news","NPR","radio","news","news"
"2026","law & politics","Talking Points Memo","general","health & lifestyle","news"
"2027","law & politics","National Review","","law & politics","law & politics"
"2028","news","NPR","radio","news","news"
"2029","news","NPR","radio","law & politics","law & politics"
"2030","law & politics","Talking Points Memo","general","news","law & politics"
"2031","news","Buzzfeed News","general","news","news"
"2032","entertainment","Guardian","newspaper","news","news"
"2033","news","Fox News","broadcast","news","news"
"2034","news","New York Post","","news","news"
"2035","entertainment","Washington Post","newspaper","news","news"
"2036","news","Washington Post","newspaper","law & politics","law & politics"
"2037","law & politics","Guardian","newspaper","news","law & politics"
"2038","news","New York Post","","law & politics","law & politics"
"2039","news","New York Post","","news","news"
"2040","law & politics","National Review","","news","law & politics"
"2041","news","New York Post","","news","news"
"2042","news","New York Post","","news","law & politics"
"2043","entertainment","Guardian","newspaper","news","news"
"2044","health & lifestyle","NPR","radio","news","news"
"2045","health & lifestyle","Guardian","newspaper","news","news"
"2046","news","New York Post","","news","news"
"2047","entertainment","Guardian","newspaper","news","law & politics"
"2048","news","Guardian","newspaper","law & politics","law & politics"
"2049","news","New York Post","","news","news"
"2050","news","Washington Post","newspaper","news","news"
"2051","entertainment","Guardian","newspaper","entertainment","entertainment"
"2052","news","New York Post","","news","news"
"2053","news","New York Post","","news","news"
"2054","news","Washington Post","newspaper","news","news"
"2055","news","Washington Post","newspaper","news","law & politics"
"2056","law & politics","National Review","","law & politics","law & politics"
"2057","news","NPR","radio","news","news"
"2058","news","New York Post","","news","news"
"2059","news","New York Post","","news","news"
"2060","news","Talking Points Memo","general","news","news"
"2061","law & politics","National Review","","law & politics","law & politics"
"2062","law & politics","National Review","","law & politics","news"
"2063","art & fashion","Guardian","newspaper","news","news"
"2064","news","New York Post","","news","news"
"2065","law & politics","Washington Post","newspaper","news","news"
"2066","culture","Guardian","newspaper","news","news"
"2067","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2068","entertainment","Guardian","newspaper","news","news"
"2069","news","New York Post","","news","news"
"2070","news","Guardian","newspaper","news","news"
"2071","news","New York Post","","news","news"
"2072","law & politics","Talking Points Memo","general","news","news"
"2073","news","Washington Post","newspaper","health & lifestyle","news"
"2074","entertainment","Guardian","newspaper","entertainment","news"
"2075","law & politics","NPR","radio","news","news"
"2076","entertainment","Guardian","newspaper","news","news"
"2077","news","New York Post","","news","news"
"2078","law & politics","Guardian","newspaper","law & politics","law & politics"
"2079","news","New York Post","","news","news"
"2080","sports","Guardian","newspaper","news","news"
"2081","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2082","law & politics","Guardian","newspaper","law & politics","law & politics"
"2083","entertainment","Washington Post","newspaper","news","news"
"2084","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2085","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2086","economy, business & jobs","Buzzfeed News","general","law & politics","news"
"2087","news","New York Post","","news","news"
"2088","news","Washington Post","newspaper","news","news"
"2089","news","Guardian","newspaper","news","news"
"2090","news","Fox News","broadcast","news","news"
"2091","news","New York Post","","news","news"
"2092","news","NPR","radio","news","news"
"2093","economy, business & jobs","Guardian","newspaper","news","law & politics"
"2094","news","New York Post","","news","news"
"2095","news","New York Post","","news","news"
"2096","news","New York Post","","law & politics","law & politics"
"2097","law & politics","National Review","","law & politics","law & politics"
"2098","health & lifestyle","NPR","radio","health & lifestyle","news"
"2099","entertainment","Guardian","newspaper","news","entertainment"
"2100","news","NPR","radio","news","news"
"2101","news","New York Post","","news","news"
"2102","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2103","law & politics","Fox News","broadcast","news","law & politics"
"2104","law & politics","National Review","","health & lifestyle","law & politics"
"2105","news","New York Post","","law & politics","news"
"2106","law & politics","National Review","","news","law & politics"
"2107","news","NPR","radio","news","news"
"2108","law & politics","Washington Post","newspaper","law & politics","news"
"2109","science & tech","NPR","radio","health & lifestyle","law & politics"
"2110","news","New York Post","","news","news"
"2111","law & politics","Washington Post","newspaper","law & politics","news"
"2112","news","New York Post","","news","news"
"2113","news","NPR","radio","news","science & tech"
"2114","science & tech","NPR","radio","news","news"
"2115","university & school","NPR","radio","news","law & politics"
"2116","law & politics","Washington Post","newspaper","news","news"
"2117","law & politics","Talking Points Memo","general","law & politics","news"
"2118","books","Guardian","newspaper","economy, business & jobs","news"
"2119","news","New York Post","","news","news"
"2120","news","Guardian","newspaper","law & politics","law & politics"
"2121","law & politics","Fox News","broadcast","law & politics","law & politics"
"2122","news","New York Post","","news","news"
"2123","news","New York Post","","law & politics","law & politics"
"2124","health & lifestyle","NPR","radio","news","health & lifestyle"
"2125","news","New York Post","","news","news"
"2126","university & school","NPR","radio","law & politics","news"
"2127","law & politics","National Review","","law & politics","law & politics"
"2128","news","New York Post","","law & politics","news"
"2129","law & politics","National Review","","law & politics","news"
"2130","sports","Guardian","newspaper","news","news"
"2131","law & politics","National Review","","law & politics","law & politics"
"2132","news","New York Post","","news","news"
"2133","news","Guardian","newspaper","news","news"
"2134","news","New York Post","","law & politics","news"
"2135","law & politics","National Review","","law & politics","law & politics"
"2136","law & politics","National Review","","news","law & politics"
"2137","law & politics","Talking Points Memo","general","law & politics","news"
"2138","news","New York Post","","news","news"
"2139","news","New York Post","","news","news"
"2140","news","NPR","radio","news","news"
"2141","news","New York Post","","news","news"
"2142","news","Washington Post","newspaper","news","news"
"2143","law & politics","National Review","","law & politics","news"
"2144","news","New York Post","","news","news"
"2145","art & fashion","Guardian","newspaper","news","news"
"2146","law & politics","Fox News","broadcast","law & politics","law & politics"
"2147","news","Washington Post","newspaper","news","news"
"2148","law & politics","National Review","","news","law & politics"
"2149","news","New York Post","","news","news"
"2150","news","Talking Points Memo","general","law & politics","health & lifestyle"
"2151","news","New York Post","","news","news"
"2152","news","New York Post","","news","news"
"2153","law & politics","Talking Points Memo","general","news","law & politics"
"2154","news","Washington Post","newspaper","news","news"
"2155","news","Washington Post","newspaper","law & politics","news"
"2156","news","New York Post","","news","news"
"2157","health & lifestyle","Washington Post","newspaper","news","news"
"2158","news","NPR","radio","news","news"
"2159","news","New York Post","","news","news"
"2160","law & politics","National Review","","news","law & politics"
"2161","law & politics","Washington Post","newspaper","news","news"
"2162","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2163","news","Washington Post","newspaper","news","law & politics"
"2164","news","Washington Post","newspaper","news","news"
"2165","law & politics","Washington Post","newspaper","law & politics","law & politics"
"2166","news","Washington Post","newspaper","news","law & politics"
"2167","news","Washington Post","newspaper","law & politics","law & politics"
"2168","economy, business & jobs","Guardian","newspaper","news","news"
"2169","law & politics","Washington Post","newspaper","news","news"
"2170","law & politics","Talking Points Memo","general","health & lifestyle","news"
"2171","news","New York Post","","news","news"
"2172","books","Guardian","newspaper","news","news"
"2173","news","New York Post","","news","news"
"2174","news","Washington Post","newspaper","law & politics","law & politics"
"2175","law & politics","National Review","","law & politics","news"
"2176","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2177","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2178","law & politics","National Review","","law & politics","law & politics"
"2179","law & politics","National Review","","law & politics","law & politics"
"2180","food","NPR","radio","law & politics","food"
"2181","news","Washington Post","newspaper","news","news"
"2182","law & politics","Fox News","broadcast","law & politics","law & politics"
"2183","law & politics","Fox News","broadcast","law & politics","law & politics"
"2184","news","Guardian","newspaper","news","news"
"2185","news","Washington Post","newspaper","news","law & politics"
"2186","news","Washington Post","newspaper","law & politics","news"
"2187","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2188","news","Washington Post","newspaper","news","news"
"2189","books","Guardian","newspaper","law & politics","health & lifestyle"
"2190","law & politics","National Review","","law & politics","law & politics"
"2191","news","Washington Post","newspaper","news","news"
"2192","news","Washington Post","newspaper","news","law & politics"
"2193","news","NPR","radio","news","news"
"2194","news","Guardian","newspaper","news","news"
"2195","law & politics","Talking Points Memo","general","law & politics","news"
"2196","law & politics","National Review","","news","news"
"2197","news","Washington Post","newspaper","law & politics","news"
"2198","health & lifestyle","NPR","radio","law & politics","health & lifestyle"
"2199","health & lifestyle","NPR","radio","news","health & lifestyle"
"2200","news","Washington Post","newspaper","news","news"
"2201","news","New York Post","","news","news"
"2202","food","NPR","radio","news","health & lifestyle"
"2203","news","New York Post","","news","news"
"2204","news","New York Post","","news","news"
"2205","news","New York Post","","news","news"
"2206","news","Fox News","broadcast","news","news"
"2207","economy, business & jobs","Washington Post","newspaper","news","news"
"2208","news","Washington Post","newspaper","news","news"
"2209","news","New York Post","","news","news"
"2210","news","New York Post","","news","law & politics"
"2211","news","Guardian","newspaper","news","news"
"2212","news","Buzzfeed News","general","news","news"
"2213","entertainment","Guardian","newspaper","law & politics","news"
"2214","entertainment","NPR","radio","law & politics","news"
"2215","food","NPR","radio","food","news"
"2216","news","New York Post","","news","news"
"2217","news","New York Post","","news","news"
"2218","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2219","news","New York Post","","news","news"
"2220","law & politics","National Review","","news","law & politics"
"2221","news","Washington Post","newspaper","news","health & lifestyle"
"2222","health & lifestyle","Guardian","newspaper","news","news"
"2223","news","Washington Post","newspaper","news","news"
"2224","news","New York Post","","news","news"
"2225","health & lifestyle","NPR","radio","news","news"
"2226","law & politics","Talking Points Memo","general","law & politics","law & politics"
"2227","news","NPR","radio","news","news"
"2228","news","New York Post","","news","news"
"2229","news","NPR","radio","news","news"
"2230","sports","NPR","radio","entertainment","law & politics"
"2231","law & politics","National Review","","law & politics","news"
"2232","news","New York Post","","news","news"
"2233","news","New York Post","","news","news"
"2234","news","New York Post","","news","news"
"2235","news","Washington Post","newspaper","news","news"
"2236","news","Washington Post","newspaper","news","news"
"2237","news","Washington Post","newspaper","news","news"
