"","section","publication","category","title","content"
"3440","health & lifestyle","Guardian","newspaper","health & lifestyle","news"
"3441","sports","Guardian","newspaper","news","news"
"3442","entertainment","Guardian","newspaper","news","news"
"3443","news","New York Post",NA,"entertainment","news"
"3444","news","Washington Post","newspaper","law & politics","news"
"3445","news","New York Post",NA,"law & politics","law & politics"
"3446","news","Washington Post","newspaper","news","news"
"3447","news","NPR","radio","law & politics","news"
"3448","law & politics","National Review",NA,"law & politics","law & politics"
"3449","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3450","law & politics","Guardian","newspaper","law & politics","law & politics"
"3451","news","NPR","radio","law & politics","law & politics"
"3452","news","Talking Points Memo","general","news","news"
"3453","news","Guardian","newspaper","news","news"
"3454","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3455","law & politics","National Review",NA,"news","law & politics"
"3456","law & politics","National Review",NA,"law & politics","news"
"3457","news","New York Post",NA,"news","news"
"3458","law & politics","National Review",NA,"law & politics","law & politics"
"3459","entertainment","Guardian","newspaper","news","entertainment"
"3460","news","NPR","radio","news","news"
"3461","law & politics","National Review",NA,"law & politics","law & politics"
"3462","news","New York Post",NA,"news","news"
"3463","news","New York Post",NA,"law & politics","law & politics"
"3464","law & politics","National Review",NA,"news","law & politics"
"3465","law & politics","Washington Post","newspaper","news","law & politics"
"3466","news","New York Post",NA,"news","news"
"3467","sports","Guardian","newspaper","sports","news"
"3468","news","Guardian","newspaper","news","news"
"3469","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3470","science & tech","NPR","radio","news","law & politics"
"3471","news","New York Post",NA,"news","news"
"3472","news","Washington Post","newspaper","news","news"
"3473","news","New York Post",NA,"news","news"
"3474","news","NPR","radio","news","news"
"3475","news","Washington Post","newspaper","news","law & politics"
"3476","news","NPR","radio","news","news"
"3477","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3478","news","NPR","radio","news","law & politics"
"3479","news","Guardian","newspaper","news","news"
"3480","news","New York Post",NA,"news","news"
"3481","law & politics","National Review",NA,"entertainment","law & politics"
"3482","health & lifestyle","NPR","radio","news","news"
"3483","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3484","news","Washington Post","newspaper","news","news"
"3485","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3486","news","New York Post",NA,"news","news"
"3487","news","Washington Post","newspaper","law & politics","news"
"3488","news","Washington Post","newspaper","news","news"
"3489","news","New York Post",NA,"news","law & politics"
"3490","news","New York Post",NA,"food","news"
"3491","health & lifestyle","NPR","radio","news","health & lifestyle"
"3492","sports","Guardian","newspaper","sports","sports"
"3493","news","Guardian","newspaper","law & politics","law & politics"
"3494","news","Guardian","newspaper","news","news"
"3495","news","New York Post",NA,"news","news"
"3496","news","Fox News","broadcast","news","news"
"3497","news","New York Post",NA,"news","news"
"3498","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3499","news","Guardian","newspaper","news","news"
"3500","news","Guardian","newspaper","news","news"
"3501","news","New York Post",NA,"news","news"
"3502","news","Guardian","newspaper","news","law & politics"
"3503","news","Washington Post","newspaper","news","law & politics"
"3504","law & politics","Guardian","newspaper","law & politics","law & politics"
"3505","news","New York Post",NA,"news","news"
"3506","news","NPR","radio","news","news"
"3507","news","Guardian","newspaper","news","news"
"3508","news","Washington Post","newspaper","news","news"
"3509","food","NPR","radio","news","news"
"3510","news","Washington Post","newspaper","law & politics","news"
"3511","news","NPR","radio","news","news"
"3512","sports","Guardian","newspaper","news","sports"
"3513","news","New York Post",NA,"news","news"
"3514","food","NPR","radio","law & politics","news"
"3515","news","New York Post",NA,"news","news"
"3516","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3517","news","Guardian","newspaper","news","news"
"3518","news","New York Post",NA,"news","news"
"3519","science & tech","Guardian","newspaper","science & tech","news"
"3520","law & politics","Fox News","broadcast","news","law & politics"
"3521","law & politics","National Review",NA,"law & politics","law & politics"
"3522","news","Guardian","newspaper","news","news"
"3523","health & lifestyle","NPR","radio","news","health & lifestyle"
"3524","sports","Guardian","newspaper","sports","news"
"3525","news","Guardian","newspaper","news","news"
"3526","news","Washington Post","newspaper","news","law & politics"
"3527","news","New York Post",NA,"news","news"
"3528","news","Washington Post","newspaper","news","news"
"3529","health & lifestyle","NPR","radio","news","health & lifestyle"
"3530","news","Guardian","newspaper","news","news"
"3531","news","New York Post",NA,"news","news"
"3532","art & fashion","Guardian","newspaper","news","news"
"3533","university & school","NPR","radio","news","news"
"3534","law & politics","Talking Points Memo","general","law & politics","news"
"3535","news","New York Post",NA,"news","news"
"3536","news","Washington Post","newspaper","news","news"
"3537","news","NPR","radio","news","news"
"3538","news","New York Post",NA,"news","news"
"3539","news","New York Post",NA,"news","news"
"3540","law & politics","Fox News","broadcast","law & politics","law & politics"
"3541","news","NPR","radio","news","news"
"3542","law & politics","National Review",NA,"law & politics","law & politics"
"3543","law & politics","Guardian","newspaper","law & politics","law & politics"
"3544","entertainment","Guardian","newspaper","law & politics","news"
"3545","news","Guardian","newspaper","news","news"
"3546","news","New York Post",NA,"news","news"
"3547","law & politics","Washington Post","newspaper","news","news"
"3548","news","Washington Post","newspaper","news","law & politics"
"3549","entertainment","Fox News","broadcast","entertainment","entertainment"
"3550","law & politics","Talking Points Memo","general","law & politics","news"
"3551","news","Washington Post","newspaper","news","news"
"3552","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3553","law & politics","National Review",NA,"law & politics","law & politics"
"3554","news","New York Post",NA,"news","news"
"3555","sports","Guardian","newspaper","sports","news"
"3556","health & lifestyle","Guardian","newspaper","news","law & politics"
"3557","sports","Fox News","broadcast","sports","sports"
"3558","science & tech","NPR","radio","law & politics","science & tech"
"3559","health & lifestyle","NPR","radio","health & lifestyle","news"
"3560","news","Washington Post","newspaper","news","news"
"3561","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3562","news","NPR","radio","law & politics","news"
"3563","news","New York Post",NA,"news","news"
"3564","news","Washington Post","newspaper","news","news"
"3565","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3566","news","Guardian","newspaper","news","news"
"3567","law & politics","National Review",NA,"law & politics","law & politics"
"3568","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"3569","news","New York Post",NA,"law & politics","university & school"
"3570","news","Washington Post","newspaper","news","news"
"3571","news","New York Post",NA,"law & politics","news"
"3572","news","New York Post",NA,"news","news"
"3573","entertainment","NPR","radio","entertainment","news"
"3574","science & tech","Guardian","newspaper","news","news"
"3575","news","Washington Post","newspaper","news","news"
"3576","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3577","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3578","news","Fox News","broadcast","news","news"
"3579","news","New York Post",NA,"news","news"
"3580","news","Washington Post","newspaper","news","news"
"3581","law & politics","Washington Post","newspaper","sports","news"
"3582","law & politics","National Review",NA,"books","law & politics"
"3583","news","New York Post",NA,"news","news"
"3584","news","New York Post",NA,"news","news"
"3585","law & politics","Guardian","newspaper","law & politics","law & politics"
"3586","news","New York Post",NA,"news","news"
"3587","news","Washington Post","newspaper","news","news"
"3588","news","Washington Post","newspaper","news","news"
"3589","news","New York Post",NA,"news","news"
"3590","health & lifestyle","NPR","radio","news","health & lifestyle"
"3591","news","New York Post",NA,"news","news"
"3592","entertainment","Guardian","newspaper","news","entertainment"
"3593","news","New York Post",NA,"law & politics","news"
"3594","law & politics","National Review",NA,"law & politics","law & politics"
"3595","health & lifestyle","NPR","radio","news","health & lifestyle"
"3596","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3597","sports","Guardian","newspaper","sports","sports"
"3598","news","NPR","radio","news","news"
"3599","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3600","entertainment","Guardian","newspaper","news","entertainment"
"3601","news","New York Post",NA,"law & politics","news"
"3602","law & politics","Washington Post","newspaper","health & lifestyle","law & politics"
"3603","news","Guardian","newspaper","law & politics","law & politics"
"3604","law & politics","National Review",NA,"news","law & politics"
"3605","health & lifestyle","NPR","radio","news","health & lifestyle"
"3606","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3607","news","Guardian","newspaper","law & politics","news"
"3608","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3609","news","New York Post",NA,"news","news"
"3610","science & tech","Guardian","newspaper","science & tech","science & tech"
"3611","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3612","news","Guardian","newspaper","news","news"
"3613","news","New York Post",NA,"news","news"
"3614","law & politics","Washington Post","newspaper","law & politics","news"
"3615","entertainment","NPR","radio","law & politics","health & lifestyle"
"3616","news","NPR","radio","news","news"
"3617","law & politics","National Review",NA,"law & politics","law & politics"
"3618","law & politics","National Review",NA,"news","law & politics"
"3619","news","New York Post",NA,"news","news"
"3620","news","New York Post",NA,"news","news"
"3621","news","NPR","radio","law & politics","news"
"3622","law & politics","National Review",NA,"law & politics","law & politics"
"3623","university & school","NPR","radio","law & politics","university & school"
"3624","news","Washington Post","newspaper","news","entertainment"
"3625","news","New York Post",NA,"health & lifestyle","news"
"3626","news","New York Post",NA,"news","news"
"3627","news","New York Post",NA,"news","news"
"3628","law & politics","Fox News","broadcast","law & politics","law & politics"
"3629","news","Washington Post","newspaper","news","news"
"3630","news","New York Post",NA,"news","news"
"3631","news","NPR","radio","law & politics","news"
"3632","news","New York Post",NA,"news","news"
"3633","news","New York Post",NA,"news","news"
"3634","news","New York Post",NA,"news","news"
"3635","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3636","news","New York Post",NA,"news","news"
"3637","news","Guardian","newspaper","news","news"
"3638","news","Washington Post","newspaper","law & politics","news"
"3639","news","Talking Points Memo","general","news","news"
"3640","news","New York Post",NA,"news","news"
"3641","law & politics","National Review",NA,"law & politics","law & politics"
"3642","law & politics","Washington Post","newspaper","law & politics","news"
"3643","news","Washington Post","newspaper","news","news"
"3644","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"3645","crime","Washington Post","newspaper","news","news"
"3646","news","New York Post",NA,"news","news"
"3647","health & lifestyle","Washington Post","newspaper","news","law & politics"
"3648","science & tech","NPR","radio","news","news"
"3649","news","NPR","radio","news","news"
"3650","health & lifestyle","NPR","radio","news","health & lifestyle"
"3651","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3652","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3653","law & politics","National Review",NA,"law & politics","law & politics"
"3654","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"3655","law & politics","National Review",NA,"law & politics","news"
"3656","news","Washington Post","newspaper","news","news"
"3657","science & tech","Guardian","newspaper","news","news"
"3658","news","Washington Post","newspaper","health & lifestyle","news"
"3659","news","New York Post",NA,"news","news"
"3660","news","NPR","radio","news","news"
"3661","news","New York Post",NA,"news","news"
"3662","news","NPR","radio","news","news"
"3663","news","New York Post",NA,"news","news"
"3664","news","New York Post",NA,"news","news"
"3665","law & politics","National Review",NA,"law & politics","news"
"3666","law & politics","National Review",NA,"news","news"
"3667","entertainment","NPR","radio","law & politics","news"
"3668","news","NPR","radio","science & tech","news"
"3669","law & politics","National Review",NA,"law & politics","law & politics"
"3670","law & politics","National Review",NA,"law & politics","law & politics"
"3671","news","New York Post",NA,"news","news"
"3672","sports","Guardian","newspaper","news","sports"
"3673","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3674","law & politics","Talking Points Memo","general","news","news"
"3675","news","Guardian","newspaper","news","news"
"3676","news","Washington Post","newspaper","news","news"
"3677","news","Guardian","newspaper","law & politics","law & politics"
"3678","news","Guardian","newspaper","news","news"
"3679","law & politics","National Review",NA,"law & politics","law & politics"
"3680","news","Fox News","broadcast","news","news"
"3681","law & politics","National Review",NA,"law & politics","law & politics"
"3682","news","New York Post",NA,"news","news"
"3683","news","NPR","radio","news","news"
"3684","news","Guardian","newspaper","news","news"
"3685","news","NPR","radio","news","news"
"3686","science & tech","NPR","radio","law & politics","news"
"3687","food","NPR","radio","news","health & lifestyle"
"3688","news","Washington Post","newspaper","news","news"
"3689","news","New York Post",NA,"news","news"
"3690","news","New York Post",NA,"news","news"
"3691","news","New York Post",NA,"news","news"
"3692","news","New York Post",NA,"news","news"
"3693","sports","Guardian","newspaper","sports","news"
"3694","news","Washington Post","newspaper","news","news"
"3695","law & politics","National Review",NA,"news","law & politics"
"3696","news","Washington Post","newspaper","news","news"
"3697","law & politics","National Review",NA,"law & politics","law & politics"
"3698","law & politics","National Review",NA,"law & politics","law & politics"
"3699","news","New York Post",NA,"news","news"
"3700","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3701","news","New York Post",NA,"news","news"
"3702","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3703","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3704","news","New York Post",NA,"news","news"
"3705","news","Washington Post","newspaper","sports","sports"
"3706","health & lifestyle","Washington Post","newspaper","news","health & lifestyle"
"3707","news","New York Post",NA,"news","news"
"3708","food","NPR","radio","news","food"
"3709","news","New York Post",NA,"news","news"
"3710","news","NPR","radio","news","news"
"3711","news","Guardian","newspaper","law & politics","news"
"3712","news","Guardian","newspaper","news","news"
"3713","news","Guardian","newspaper","news","news"
"3714","economy, business & jobs","Washington Post","newspaper","news","economy, business & jobs"
"3715","news","New York Post",NA,"news","news"
"3716","news","New York Post",NA,"news","news"
"3717","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3718","university & school","NPR","radio","news","news"
"3719","news","New York Post",NA,"health & lifestyle","news"
"3720","law & politics","Talking Points Memo","general","sports","law & politics"
"3721","law & politics","National Review",NA,"law & politics","news"
"3722","news","Washington Post","newspaper","news","news"
"3723","law & politics","National Review",NA,"law & politics","law & politics"
"3724","law & politics","Washington Post","newspaper","law & politics","news"
"3725","news","New York Post",NA,"news","news"
"3726","health & lifestyle","NPR","radio","news","health & lifestyle"
"3727","news","New York Post",NA,"news","news"
"3728","news","New York Post",NA,"news","news"
"3729","news","Guardian","newspaper","news","news"
"3730","news","New York Post",NA,"news","news"
"3731","news","NPR","radio","news","news"
"3732","news","Washington Post","newspaper","news","news"
"3733","law & politics","National Review",NA,"sports","law & politics"
"3734","law & politics","National Review",NA,"law & politics","law & politics"
"3735","news","New York Post",NA,"news","news"
"3736","law & politics","Talking Points Memo","general","news","law & politics"
"3737","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3738","news","Washington Post","newspaper","news","news"
"3739","news","New York Post",NA,"news","news"
"3740","news","New York Post",NA,"news","news"
"3741","law & politics","Fox News","broadcast","law & politics","law & politics"
"3742","news","NPR","radio","news","law & politics"
"3743","food","NPR","radio","news","news"
"3744","news","New York Post",NA,"news","news"
"3745","news","New York Post",NA,"news","news"
"3746","law & politics","Talking Points Memo","general","news","law & politics"
"3747","law & politics","Fox News","broadcast","news","law & politics"
"3748","law & politics","National Review",NA,"law & politics","news"
"3749","news","New York Post",NA,"news","news"
"3750","news","Fox News","broadcast","news","news"
"3751","news","NPR","radio","news","news"
"3752","law & politics","National Review",NA,"news","news"
"3753","law & politics","National Review",NA,"law & politics","law & politics"
"3754","law & politics","Talking Points Memo","general","law & politics","media"
"3755","news","Guardian","newspaper","news","news"
"3756","law & politics","National Review",NA,"law & politics","law & politics"
"3757","news","New York Post",NA,"news","news"
"3758","news","New York Post",NA,"news","news"
"3759","news","Guardian","newspaper","news","news"
"3760","law & politics","Washington Post","newspaper","food","law & politics"
"3761","news","Guardian","newspaper","news","news"
"3762","law & politics","Guardian","newspaper","news","law & politics"
"3763","science & tech","NPR","radio","news","science & tech"
"3764","law & politics","Fox News","broadcast","news","news"
"3765","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3766","news","Washington Post","newspaper","news","news"
"3767","news","New York Post",NA,"news","news"
"3768","law & politics","National Review",NA,"news","law & politics"
"3769","news","Washington Post","newspaper","news","news"
"3770","news","New York Post",NA,"news","news"
"3771","news","New York Post",NA,"news","news"
"3772","news","New York Post",NA,"news","news"
"3773","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3774","news","New York Post",NA,"news","news"
"3775","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3776","news","Washington Post","newspaper","news","news"
"3777","news","Washington Post","newspaper","news","news"
"3778","news","Talking Points Memo","general","news","news"
"3779","science & tech","NPR","radio","travel","news"
"3780","news","New York Post",NA,"news","news"
"3781","news","New York Post",NA,"news","news"
"3782","news","NPR","radio","news","news"
"3783","news","New York Post",NA,"news","news"
"3784","entertainment","Guardian","newspaper","entertainment","entertainment"
"3785","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3786","law & politics","Guardian","newspaper","law & politics","news"
"3787","news","New York Post",NA,"news","news"
"3788","news","New York Post",NA,"news","news"
"3789","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3790","news","Talking Points Memo","general","news","news"
"3791","food","NPR","radio","news","food"
"3792","news","NPR","radio","news","news"
"3793","law & politics","Guardian","newspaper","law & politics","news"
"3794","news","New York Post",NA,"news","news"
"3795","art & fashion","Guardian","newspaper","art & fashion","art & fashion"
"3796","news","New York Post",NA,"news","news"
"3797","news","Fox News","broadcast","news","news"
"3798","news","New York Post",NA,"news","news"
"3799","news","Washington Post","newspaper","news","news"
"3800","news","New York Post",NA,"news","news"
"3801","culture","Guardian","newspaper","news","law & politics"
"3802","health & lifestyle","Guardian","newspaper","news","health & lifestyle"
"3803","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3804","news","New York Post",NA,"news","news"
"3805","entertainment","Guardian","newspaper","law & politics","news"
"3806","news","New York Post",NA,"news","news"
"3807","news","Washington Post","newspaper","news","news"
"3808","news","NPR","radio","news","news"
"3809","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3810","news","New York Post",NA,"news","news"
"3811","news","New York Post",NA,"news","news"
"3812","news","New York Post",NA,"news","news"
"3813","law & politics","National Review",NA,"law & politics","law & politics"
"3814","news","New York Post",NA,"news","news"
"3815","health & lifestyle","NPR","radio","news","news"
"3816","news","New York Post",NA,"news","news"
"3817","news","New York Post",NA,"economy, business & jobs","news"
"3818","news","NPR","radio","law & politics","news"
"3819","news","Washington Post","newspaper","news","news"
"3820","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3821","news","New York Post",NA,"news","law & politics"
"3822","news","Washington Post","newspaper","news","news"
"3823","sports","Guardian","newspaper","news","sports"
"3824","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3825","news","New York Post",NA,"news","law & politics"
"3826","economy, business & jobs","Guardian","newspaper","news","economy, business & jobs"
"3827","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3828","sports","Guardian","newspaper","news","sports"
"3829","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3830","news","Washington Post","newspaper","law & politics","news"
"3831","news","NPR","radio","news","news"
"3832","news","NPR","radio","news","news"
"3833","news","New York Post",NA,"news","news"
"3834","law & politics","National Review",NA,"law & politics","law & politics"
"3835","news","New York Post",NA,"news","health & lifestyle"
"3836","news","New York Post",NA,"news","news"
"3837","news","NPR","radio","news","news"
"3838","news","New York Post",NA,"news","news"
"3839","news","NPR","radio","news","news"
"3840","news","Washington Post","newspaper","news","news"
"3841","news","Washington Post","newspaper","news","news"
"3842","news","New York Post",NA,"law & politics","news"
"3843","news","NPR","radio","news","news"
"3844","news","New York Post",NA,"news","news"
"3845","entertainment","Guardian","newspaper","news","entertainment"
"3846","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3847","news","Washington Post","newspaper","news","news"
"3848","entertainment","Guardian","newspaper","news","entertainment"
"3849","food","NPR","radio","news","food"
"3850","news","Washington Post","newspaper","law & politics","news"
"3851","news","New York Post",NA,"law & politics","law & politics"
"3852","law & politics","NPR","radio","law & politics","news"
"3853","news","New York Post",NA,"news","news"
"3854","health & lifestyle","Washington Post","newspaper","health & lifestyle","news"
"3855","news","New York Post",NA,"news","news"
"3856","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3857","news","Guardian","newspaper","news","law & politics"
"3858","news","Washington Post","newspaper","news","news"
"3859","science & tech","Guardian","newspaper","news","science & tech"
"3860","law & politics","Washington Post","newspaper","law & politics","news"
"3861","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3862","news","Washington Post","newspaper","law & politics","news"
"3863","law & politics","Talking Points Memo","general","law & politics","news"
"3864","news","Guardian","newspaper","news","news"
"3865","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3866","university & school","NPR","radio","news","university & school"
"3867","law & politics","National Review",NA,"law & politics","news"
"3868","news","New York Post",NA,"news","news"
"3869","news","New York Post",NA,"news","news"
"3870","entertainment","NPR","radio","entertainment","entertainment"
"3871","news","New York Post",NA,"health & lifestyle","news"
"3872","news","New York Post",NA,"news","news"
"3873","news","Washington Post","newspaper","news","news"
"3874","sports","Guardian","newspaper","news","news"
"3875","law & politics","National Review",NA,"law & politics","law & politics"
"3876","news","New York Post",NA,"news","news"
"3877","news","New York Post",NA,"news","news"
"3878","law & politics","Washington Post","newspaper","law & politics","news"
"3879","news","Washington Post","newspaper","news","news"
"3880","news","New York Post",NA,"news","news"
"3881","news","New York Post",NA,"news","news"
"3882","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"3883","news","Guardian","newspaper","news","news"
"3884","news","New York Post",NA,"news","news"
"3885","law & politics","National Review",NA,"law & politics","law & politics"
"3886","news","New York Post",NA,"news","news"
"3887","law & politics","National Review",NA,"law & politics","law & politics"
"3888","news","Guardian","newspaper","news","law & politics"
"3889","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3890","news","New York Post",NA,"news","news"
"3891","news","Guardian","newspaper","news","news"
"3892","science & tech","NPR","radio","science & tech","news"
"3893","law & politics","Fox News","broadcast","law & politics","law & politics"
"3894","news","NPR","radio","news","news"
"3895","law & politics","National Review",NA,"food","law & politics"
"3896","entertainment","Guardian","newspaper","news","entertainment"
"3897","news","New York Post",NA,"news","news"
"3898","law & politics","Talking Points Memo","general","law & politics","news"
"3899","science & tech","NPR","radio","news","news"
"3900","health & lifestyle","NPR","radio","news","health & lifestyle"
"3901","news","Guardian","newspaper","law & politics","law & politics"
"3902","entertainment","NPR","radio","news","entertainment"
"3903","news","New York Post",NA,"news","news"
"3904","news","NPR","radio","news","news"
"3905","news","New York Post",NA,"health & lifestyle","news"
"3906","news","NPR","radio","news","news"
"3907","news","New York Post",NA,"news","news"
"3908","food","NPR","radio","food","news"
"3909","news","Washington Post","newspaper","law & politics","news"
"3910","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3911","law & politics","National Review",NA,"law & politics","news"
"3912","news","NPR","radio","news","news"
"3913","health & lifestyle","NPR","radio","news","news"
"3914","news","Washington Post","newspaper","news","news"
"3915","news","New York Post",NA,"news","news"
"3916","news","New York Post",NA,"news","news"
"3917","news","Guardian","newspaper","news","news"
"3918","law & politics","Guardian","newspaper","law & politics","law & politics"
"3919","news","New York Post",NA,"news","news"
"3920","news","New York Post",NA,"news","news"
"3921","news","New York Post",NA,"news","news"
"3922","news","NPR","radio","news","news"
"3923","news","New York Post",NA,"news","news"
"3924","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3925","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3926","news","New York Post",NA,"news","news"
"3927","news","Guardian","newspaper","news","news"
"3928","news","New York Post",NA,"news","news"
"3929","news","Washington Post","newspaper","news","news"
"3930","news","New York Post",NA,"news","news"
"3931","news","Fox News","broadcast","news","news"
"3932","news","New York Post",NA,"news","law & politics"
"3933","news","New York Post",NA,"news","news"
"3934","news","New York Post",NA,"news","news"
"3935","law & politics","Talking Points Memo","general","law & politics","news"
"3936","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3937","law & politics","Talking Points Memo","general","news","law & politics"
"3938","health & lifestyle","Washington Post","newspaper","news","news"
"3939","news","NPR","radio","news","news"
"3940","news","New York Post",NA,"news","news"
"3941","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3942","news","NPR","radio","news","science & tech"
"3943","news","New York Post",NA,"news","news"
"3944","law & politics","National Review",NA,"entertainment","law & politics"
"3945","university & school","NPR","radio","law & politics","law & politics"
"3946","news","New York Post",NA,"news","news"
"3947","law & politics","Washington Post","newspaper","law & politics","news"
"3948","news","New York Post",NA,"news","news"
"3949","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3950","law & politics","Washington Post","newspaper","law & politics","news"
"3951","economy, business & jobs","Guardian","newspaper","news","news"
"3952","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3953","news","New York Post",NA,"news","news"
"3954","news","NPR","radio","news","news"
"3955","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3956","health & lifestyle","NPR","radio","health & lifestyle","news"
"3957","law & politics","Talking Points Memo","general","news","law & politics"
"3958","news","New York Post",NA,"news","news"
"3959","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"3960","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3961","news","Washington Post","newspaper","law & politics","news"
"3962","university & school","NPR","radio","news","news"
"3963","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3964","law & politics","National Review",NA,"law & politics","law & politics"
"3965","news","New York Post",NA,"news","news"
"3966","travel","Guardian","newspaper","health & lifestyle","news"
"3967","news","New York Post",NA,"entertainment","news"
"3968","news","Washington Post","newspaper","news","news"
"3969","news","New York Post",NA,"news","news"
"3970","law & politics","National Review",NA,"law & politics","news"
"3971","news","Washington Post","newspaper","news","news"
"3972","law & politics","Talking Points Memo","general","law & politics","news"
"3973","LGBT","Buzzfeed News","general","news","news"
"3974","news","New York Post",NA,"news","news"
"3975","news","Washington Post","newspaper","news","news"
"3976","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3977","news","New York Post",NA,"news","news"
"3978","news","Guardian","newspaper","news","news"
"3979","news","Washington Post","newspaper","news","news"
"3980","news","Washington Post","newspaper","news","news"
"3981","news","New York Post",NA,"news","news"
"3982","law & politics","Guardian","newspaper","news","law & politics"
"3983","law & politics","National Review",NA,"law & politics","law & politics"
"3984","news","New York Post",NA,"news","news"
"3985","LGBT","Buzzfeed News","general","law & politics","news"
"3986","news","NPR","radio","news","news"
"3987","news","New York Post",NA,"law & politics","news"
"3988","news","New York Post",NA,"news","news"
"3989","law & politics","Talking Points Memo","general","law & politics","law & politics"
"3990","news","Washington Post","newspaper","news","news"
"3991","law & politics","Washington Post","newspaper","law & politics","law & politics"
"3992","news","New York Post",NA,"news","news"
"3993","news","New York Post",NA,"news","news"
"3994","news","Talking Points Memo","general","news","news"
"3995","news","New York Post",NA,"news","news"
"3996","news","Washington Post","newspaper","law & politics","news"
"3997","news","New York Post",NA,"news","news"
"3998","news","Washington Post","newspaper","news","news"
"3999","law & politics","Washington Post","newspaper","law & politics","law & politics"
"4000","law & politics","Washington Post","newspaper","news","law & politics"
"4001","law & politics","National Review",NA,"news","law & politics"
"4002","news","New York Post",NA,"news","news"
"4003","news","New York Post",NA,"news","news"
"4004","news","Washington Post","newspaper","news","law & politics"
"4005","health & lifestyle","Washington Post","newspaper","news","news"
"4006","culture","Guardian","newspaper","news","news"
"4007","law & politics","Washington Post","newspaper","law & politics","law & politics"
"4008","news","New York Post",NA,"news","news"
"4009","news","New York Post",NA,"news","news"
"4010","science & tech","NPR","radio","news","news"
"4011","sports","Guardian","newspaper","news","news"
"4012","news","NPR","radio","news","news"
"4013","news","New York Post",NA,"news","news"
"4014","news","New York Post",NA,"news","news"
"4015","news","New York Post",NA,"news","news"
"4016","food","NPR","radio","news","food"
"4017","news","New York Post",NA,"news","news"
"4018","news","New York Post",NA,"news","news"
"4019","news","New York Post",NA,"news","news"
"4020","news","New York Post",NA,"news","news"
"4021","law & politics","Washington Post","newspaper","law & politics","law & politics"
"4022","news","New York Post",NA,"law & politics","news"
"4023","law & politics","Talking Points Memo","general","news","law & politics"
"4024","health & lifestyle","NPR","radio","news","health & lifestyle"
